"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"rpoE",123,"Up",9.29764209896463e-10,8.8327599940164e-08,2.89439361307832e-12,3.59962704115762e-11,"rpoE","cds-C4N14_03280;cds-C4N14_02960;cds-C4N14_09830;cds-C4N14_05965;cds-FoxI;cds-C4N14_03355;cds-C4N14_09820;cds-C4N14_09825;cds-C4N14_09130;cds-C4N14_09125;cds-C4N14_08200;cds-C4N14_07915;cds-C4N14_07920;cds-C4N14_09840;cds-C4N14_05930;cds-C4N14_09850;cds-C4N14_06785;cds-C4N14_03135;cds-C4N14_03630;cds-C4N14_05935;cds-C4N14_06060;cds-C4N14_05940;cds-C4N14_05955;cds-C4N14_01185;cds-C4N14_09845;cds-C4N14_05960;cds-C4N14_07925;cds-C4N14_05945;cds-C4N14_04025;cds-C4N14_05950;cds-C4N14_06795;cds-C4N14_06065;cds-C4N14_06685;cds-C4N14_06080;cds-C4N14_06790;cds-C4N14_06090;cds-C4N14_06125;cds-C4N14_06105;cds-C4N14_03635;cds-FunR7;cds-C4N14_06085;cds-C4N14_06095;cds-C4N14_07930;cds-C4N14_06120;cds-C4N14_06070;cds-C4N14_06690;cds-C4N14_08460;cds-C4N14_06075;cds-C4N14_08420;cds-C4N14_06100;cds-C4N14_08425;cds-C4N14_08415;cds-C4N14_08440;cds-C4N14_01180;cds-C4N14_09835;cds-C4N14_06110;cds-C4N14_05525;cds-C4N14_04020;cds-C4N14_03890;cds-C4N14_08450;cds-C4N14_08430;cds-C4N14_08455;cds-C4N14_01565;cds-C4N14_01300;cds-C4N14_03940;cds-C4N14_03885;cds-C4N14_06775;cds-C4N14_06115;cds-C4N14_08435;cds-C4N14_03895;cds-C4N14_03905;cds-C4N14_08445;cds-C4N14_03900;cds-C4N14_01295;cds-C4N14_10275;cds-C4N14_06800;cds-C4N14_03935;cds-C4N14_03520;cds-C4N14_06780;cds-C4N14_03910;cds-C4N14_03535;cds-C4N14_03130;cds-C4N14_03930;cds-C4N14_03925;cds-C4N14_03915;cds-C4N14_10265;cds-C4N14_10260;cds-C4N14_07010;cds-C4N14_07005;cds-C4N14_03530;cds-C4N14_04030;cds-C4N14_03920;cds-C4N14_10255;cds-C4N14_03880;cds-C4N14_03525;cds-C4N14_10270;cds-C4N14_07030;cds-C4N14_05180;cds-C4N14_08750;cds-C4N14_08740;cds-C4N14_07015;cds-C4N14_07025;cds-C4N14_08730;cds-C4N14_05250;cds-C4N14_07020;cds-C4N14_05230;cds-C4N14_07035;cds-C4N14_05245;cds-C4N14_05240;cds-C4N14_05420;cds-C4N14_08745;cds-C4N14_08725;cds-C4N14_08735;cds-C4N14_05215;cds-C4N14_05235;cds-C4N14_05190;cds-C4N14_05220;cds-C4N14_08720;cds-C4N14_05205;cds-C4N14_05200;cds-C4N14_05185;cds-C4N14_05225;cds-C4N14_05195;cds-C4N14_05210;cds-C4N14_07040"
"fnu03030",12,"Up",2.51383147920152e-07,1.19406995262072e-05,6.90779367199663e-09,2.98291090381673e-08,"DNA replication","cds-C4N14_04760;cds-C4N14_09560;cds-C4N14_09150;cds-C4N14_07585;cds-C4N14_05595;cds-C4N14_05505;cds-C4N14_10285;cds-C4N14_10345;cds-C4N14_00445;cds-C4N14_01175;cds-C4N14_03930;cds-C4N14_03915"
"fnu03018",11,"Up",7.77055359747504e-07,2.46067530586709e-05,2.73113470527513e-08,9.97914603850529e-08,"RNA degradation","cds-C4N14_01725;cds-C4N14_10105;cds-C4N14_09845;cds-C4N14_09340;cds-C4N14_09195;cds-C4N14_08865;cds-C4N14_06080;cds-C4N14_01060;cds-C4N14_01390;cds-C4N14_03510;cds-C4N14_03145"
"fnu03020",4,"Up",1.2520839005565e-06,2.82687765270793e-05,0.00552528132783717,0.00860494633023822,"RNA polymerase","cds-C4N14_05715;cds-C4N14_01840;cds-C4N14_01855;cds-C4N14_01860"
"fnu00900",11,"Up",1.48783034353049e-06,2.82687765270793e-05,1.12358497345552e-10,7.624326605591e-10,"Terpenoid backbone biosynthesis","cds-C4N14_02450;cds-C4N14_09835;cds-C4N14_09750;cds-C4N14_06090;cds-C4N14_05480;cds-C4N14_05470;cds-C4N14_05465;cds-C4N14_10740;cds-C4N14_00465;cds-C4N14_01475;cds-C4N14_01505"
"fnu04980",2,"Up",2.61828283137625e-06,4.1456144830124e-05,0.324569776651446,0.390305427618827,"Cobalamin transport and metabolism","cds-C4N14_04180;cds-C4N14_05600"
"fnu03070",14,"Up",3.69988171949541e-06,5.02126804788663e-05,2.0808406275297e-12,3.29466432692203e-11,"Bacterial secretion system","cds-C4N14_02370;cds-C4N14_09550;cds-C4N14_08725;cds-C4N14_08720;cds-C4N14_06785;cds-C4N14_05765;cds-C4N14_05425;cds-C4N14_10405;cds-C4N14_00680;cds-C4N14_01180;cds-C4N14_01890;cds-C4N14_02100;cds-C4N14_02135;cds-C4N14_02145"
"fnu03010",50,"Up",9.21796483529465e-06,0.000109463332419124,3.08960802581877e-08,1.0482598659028e-07,"Ribosome","cds-C4N14_05025;cds-C4N14_05030;cds-C4N14_05045;cds-C4N14_05050;cds-C4N14_10030;cds-C4N14_09815;cds-C4N14_06570;cds-C4N14_06560;cds-C4N14_05720;cds-C4N14_05710;cds-C4N14_05705;cds-C4N14_05700;cds-C4N14_10250;cds-C4N14_10400;cds-C4N14_10615;cds-C4N14_00320;cds-C4N14_00325;cds-C4N14_00660;cds-C4N14_00685;cds-C4N14_00690;cds-C4N14_00695;cds-C4N14_00700;cds-C4N14_00705;cds-C4N14_00710;cds-C4N14_00715;cds-C4N14_00720;cds-C4N14_00725;cds-C4N14_00730;cds-C4N14_00735;cds-C4N14_00740;cds-C4N14_00745;cds-C4N14_00750;cds-C4N14_00755;cds-C4N14_00760;cds-C4N14_00765;cds-C4N14_00770;cds-C4N14_00775;cds-C4N14_00780;cds-C4N14_00785;cds-C4N14_00840;cds-C4N14_00845;cds-C4N14_01475;cds-C4N14_03925;cds-C4N14_03655;cds-C4N14_03125;cds-C4N14_01865;cds-C4N14_01870;cds-C4N14_01875;cds-C4N14_01880;cds-C4N14_01900"
"fnu00051",10,"Up",1.20104809582235e-05,0.00012677729900347,6.75700279883332e-06,1.52836968068849e-05,"Fructose and mannose metabolism","cds-C4N14_05010;cds-C4N14_10105;cds-C4N14_08230;cds-C4N14_06345;cds-C4N14_10260;cds-C4N14_10515;cds-C4N14_10630;cds-C4N14_10635;cds-C4N14_10880;cds-C4N14_03680"
"fnu00330",5,"Up",1.52619061176434e-05,0.000144988108117612,0.00131966729134077,0.0021248880114809,"Arginine and proline metabolism","cds-C4N14_09955;cds-C4N14_09725;cds-C4N14_08445;cds-C4N14_06875;cds-C4N14_06380"
"fnu00550",16,"Up",1.85466787756745e-05,0.000160175862153552,3.03126487676431e-12,3.59962704115762e-11,"Peptidoglycan biosynthesis","cds-C4N14_02635;cds-C4N14_09605;cds-C4N14_09330;cds-C4N14_06365;cds-C4N14_06075;cds-C4N14_06005;cds-C4N14_05470;cds-C4N14_10690;cds-C4N14_10695;cds-C4N14_10700;cds-C4N14_10705;cds-C4N14_10710;cds-C4N14_10715;cds-C4N14_10725;cds-C4N14_00125;cds-C4N14_01035"
"fnu00970",27,"Up",3.41054951296924e-05,0.000270001836443398,5.14993880681997e-15,3.47811295761578e-13,"Aminoacyl-tRNA biosynthesis","cds-C4N14_02535;cds-C4N14_02605;cds-C4N14_02670;cds-C4N14_02680;cds-C4N14_02690;cds-C4N14_01745;cds-C4N14_04830;cds-C4N14_04835;cds-C4N14_05315;cds-C4N14_10130;cds-C4N14_09895;cds-C4N14_09700;cds-C4N14_09595;cds-C4N14_09180;cds-C4N14_08735;cds-C4N14_08440;cds-C4N14_08435;cds-C4N14_08430;cds-C4N14_05790;cds-C4N14_10135;cds-C4N14_10870;cds-C4N14_00110;cds-C4N14_00460;cds-C4N14_00850;cds-C4N14_02935;cds-C4N14_02310;cds-C4N14_02315"
"fnu03060",14,"Up",4.3785977633894e-05,0.000319974451939994,3.51406838873695e-12,3.70929441033345e-11,"Protein export","cds-C4N14_02370;cds-C4N14_02675;cds-C4N14_05250;cds-C4N14_09550;cds-C4N14_08725;cds-C4N14_08720;cds-C4N14_06785;cds-C4N14_05425;cds-C4N14_10405;cds-C4N14_00220;cds-C4N14_00225;cds-C4N14_00680;cds-C4N14_01180;cds-C4N14_01890"
"fnu03410",7,"Up",7.97428837580082e-05,0.00054111242550077,8.01496394179329e-05,0.000149298347935365,"Base excision repair","cds-C4N14_02570;cds-C4N14_02620;cds-C4N14_05260;cds-C4N14_07665;cds-C4N14_06000;cds-C4N14_01175;cds-C4N14_02900"
