"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnu00230",29,"Down",3.11870251010431e-08,2.44925617496387e-06,1.04920624236869e-08,3.32248643416752e-08,"Purine metabolism","cds-C4N14_01785;cds-C4N14_01780;cds-C4N14_04795;cds-C4N14_04920;cds-C4N14_05240;cds-C4N14_10005;cds-C4N14_09430;cds-C4N14_07815;cds-C4N14_07800;cds-C4N14_07545;cds-C4N14_07270;cds-C4N14_07265;cds-C4N14_07250;cds-C4N14_07245;cds-C4N14_07240;cds-C4N14_07235;cds-C4N14_07230;cds-C4N14_07225;cds-C4N14_05980;cds-C4N14_05620;cds-C4N14_10640;cds-C4N14_10835;cds-C4N14_10840;cds-C4N14_00370;cds-C4N14_00585;cds-C4N14_00605;cds-C4N14_03060;cds-C4N14_01845;cds-C4N14_02045"
"fnu00051",10,"Down",6.02466278939154e-08,2.44925617496387e-06,2.22220347099241e-08,6.20909793365527e-08,"Fructose and mannose metabolism","cds-C4N14_05010;cds-C4N14_10105;cds-C4N14_08230;cds-C4N14_06345;cds-C4N14_10260;cds-C4N14_10515;cds-C4N14_10630;cds-C4N14_10635;cds-C4N14_10880;cds-C4N14_03680"
"fnu04980",2,"Up",7.73449318409645e-08,2.44925617496387e-06,0.209681057467166,0.239996391076877,"Cobalamin transport and metabolism","cds-C4N14_04180;cds-C4N14_05600"
"fnu03440",20,"Down",2.53723524674863e-07,6.02593371102801e-06,6.31318319937545e-13,9.99587339901113e-12,"Homologous recombination","cds-C4N14_04335;cds-C4N14_04465;cds-C4N14_04760;cds-C4N14_05260;cds-C4N14_10095;cds-C4N14_09560;cds-C4N14_09505;cds-C4N14_09150;cds-C4N14_07585;cds-C4N14_06635;cds-C4N14_06360;cds-C4N14_06045;cds-C4N14_05595;cds-C4N14_10345;cds-C4N14_10885;cds-C4N14_00445;cds-C4N14_00855;cds-C4N14_03915;cds-C4N14_02900;cds-C4N14_02340"
"fnu03070",13,"Up",5.69948017018326e-07,1.08290123233482e-05,1.21291857991255e-11,9.60227209097439e-11,"Bacterial secretion system","cds-C4N14_02370;cds-C4N14_09550;cds-C4N14_08725;cds-C4N14_08720;cds-C4N14_06785;cds-C4N14_05425;cds-C4N14_10405;cds-C4N14_00680;cds-C4N14_01180;cds-C4N14_01890;cds-C4N14_02100;cds-C4N14_02135;cds-C4N14_02145"
"fnu02060",12,"Down",7.52149105861826e-07,1.19090275094789e-05,2.28361977170358e-12,2.43559745132706e-11,"Phosphotransferase system (PTS)","cds-C4N14_09095;cds-C4N14_09090;cds-C4N14_09080;cds-C4N14_07595;cds-C4N14_10630;cds-C4N14_10635;cds-C4N14_10880;cds-C4N14_00270;cds-C4N14_01480;cds-C4N14_01530;cds-C4N14_01535;cds-C4N14_03445"
"rpoE",123,"Up",9.88125462465693e-07,1.3410274133463e-05,2.77215353337162e-14,2.63354585670304e-12,"rpoE","cds-C4N14_03280;cds-C4N14_02960;cds-C4N14_09830;cds-C4N14_05965;cds-FoxI;cds-C4N14_03355;cds-C4N14_09820;cds-C4N14_09825;cds-C4N14_09130;cds-C4N14_09125;cds-C4N14_08200;cds-C4N14_07915;cds-C4N14_07920;cds-C4N14_09840;cds-C4N14_05930;cds-C4N14_09850;cds-C4N14_06785;cds-C4N14_03135;cds-C4N14_03630;cds-C4N14_05935;cds-C4N14_06060;cds-C4N14_05940;cds-C4N14_05955;cds-C4N14_01185;cds-C4N14_09845;cds-C4N14_05960;cds-C4N14_07925;cds-C4N14_05945;cds-C4N14_04025;cds-C4N14_05950;cds-C4N14_06795;cds-C4N14_06065;cds-C4N14_06685;cds-C4N14_06080;cds-C4N14_06790;cds-C4N14_06090;cds-C4N14_06125;cds-C4N14_06105;cds-C4N14_03635;cds-FunR7;cds-C4N14_06085;cds-C4N14_06095;cds-C4N14_07930;cds-C4N14_06120;cds-C4N14_06070;cds-C4N14_06690;cds-C4N14_08460;cds-C4N14_06075;cds-C4N14_08420;cds-C4N14_06100;cds-C4N14_08425;cds-C4N14_08415;cds-C4N14_08440;cds-C4N14_01180;cds-C4N14_09835;cds-C4N14_06110;cds-C4N14_05525;cds-C4N14_04020;cds-C4N14_03890;cds-C4N14_08450;cds-C4N14_08430;cds-C4N14_08455;cds-C4N14_01565;cds-C4N14_01300;cds-C4N14_03940;cds-C4N14_03885;cds-C4N14_06775;cds-C4N14_06115;cds-C4N14_08435;cds-C4N14_03895;cds-C4N14_03905;cds-C4N14_08445;cds-C4N14_03900;cds-C4N14_01295;cds-C4N14_10275;cds-C4N14_06800;cds-C4N14_03935;cds-C4N14_03520;cds-C4N14_06780;cds-C4N14_03910;cds-C4N14_03535;cds-C4N14_03130;cds-C4N14_03930;cds-C4N14_03925;cds-C4N14_03915;cds-C4N14_10265;cds-C4N14_10260;cds-C4N14_07010;cds-C4N14_07005;cds-C4N14_03530;cds-C4N14_04030;cds-C4N14_03920;cds-C4N14_10255;cds-C4N14_03880;cds-C4N14_03525;cds-C4N14_10270;cds-C4N14_07030;cds-C4N14_05180;cds-C4N14_08750;cds-C4N14_08740;cds-C4N14_07015;cds-C4N14_07025;cds-C4N14_08730;cds-C4N14_05250;cds-C4N14_07020;cds-C4N14_05230;cds-C4N14_07035;cds-C4N14_05245;cds-C4N14_05240;cds-C4N14_05420;cds-C4N14_08745;cds-C4N14_08725;cds-C4N14_08735;cds-C4N14_05215;cds-C4N14_05235;cds-C4N14_05190;cds-C4N14_05220;cds-C4N14_08720;cds-C4N14_05205;cds-C4N14_05200;cds-C4N14_05185;cds-C4N14_05225;cds-C4N14_05195;cds-C4N14_05210;cds-C4N14_07040"
"fnu00500",12,"Down",1.19475397773947e-06,1.3953038621726e-05,1.18460837630455e-08,3.63025147577201e-08,"Starch and sucrose metabolism","cds-C4N14_09430;cds-C4N14_08225;cds-C4N14_07910;cds-C4N14_07905;cds-C4N14_07900;cds-C4N14_07895;cds-C4N14_07890;cds-C4N14_07885;cds-C4N14_07595;cds-C4N14_06300;cds-C4N14_05800;cds-C4N14_01950"
"fnu00564",16,"Down",1.3218668167951e-06,1.3953038621726e-05,2.81950815840933e-11,1.88592244453421e-10,"Glycerophospholipid metabolism","cds-C4N14_02770;cds-C4N14_02775;cds-C4N14_02780;cds-C4N14_04295;cds-C4N14_05135;cds-C4N14_09555;cds-C4N14_07640;cds-C4N14_07560;cds-C4N14_07220;cds-C4N14_05580;cds-C4N14_05575;cds-C4N14_05475;cds-C4N14_01065;cds-C4N14_03615;cds-C4N14_03535;cds-C4N14_03425"
"fnu01232",23,"Down",1.83423387472973e-06,1.68452110847215e-05,2.80914780556305e-08,7.62482975795684e-08,"Nucleotide metabolism","cds-C4N14_01785;cds-C4N14_01780;cds-C4N14_04570;cds-C4N14_04795;cds-C4N14_04920;cds-C4N14_05240;cds-C4N14_10085;cds-C4N14_10005;cds-C4N14_09810;cds-C4N14_08410;cds-C4N14_07025;cds-C4N14_05980;cds-C4N14_05620;cds-C4N14_05485;cds-C4N14_10640;cds-C4N14_10840;cds-C4N14_00370;cds-C4N14_00585;cds-C4N14_00595;cds-C4N14_00670;cds-C4N14_03565;cds-C4N14_01845;cds-C4N14_02045"
