"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnu02024",47,"Up",0.000132795609639698,0.0119516048675728,4.97268812782075e-06,6.39345616434096e-05,"Quorum sensing","cds-C4N14_02370;cds-C4N14_04340;cds-C4N14_04345;cds-C4N14_04350;cds-C4N14_04355;cds-C4N14_05365;cds-C4N14_05370;cds-C4N14_05375;cds-C4N14_05380;cds-C4N14_05385;cds-C4N14_09550;cds-C4N14_07840;cds-C4N14_07185;cds-C4N14_06785;cds-C4N14_06610;cds-C4N14_06605;cds-C4N14_06600;cds-C4N14_06595;cds-C4N14_06590;cds-C4N14_06535;cds-C4N14_05535;cds-C4N14_05425;cds-C4N14_10225;cds-C4N14_10230;cds-C4N14_10235;cds-C4N14_10240;cds-C4N14_10245;cds-C4N14_10405;cds-C4N14_10570;cds-C4N14_10575;cds-C4N14_10580;cds-C4N14_10585;cds-C4N14_10590;cds-C4N14_00060;cds-C4N14_00140;cds-C4N14_00145;cds-C4N14_00150;cds-C4N14_00155;cds-C4N14_00160;cds-C4N14_00680;cds-C4N14_00795;cds-C4N14_00800;cds-C4N14_00805;cds-C4N14_00810;cds-C4N14_00815;cds-C4N14_01180;cds-C4N14_01890"
"fnu00470",11,"Up",0.000464812983636797,0.0179034111535533,8.80765897457267e-05,0.000417204898795547,"D-Amino acid metabolism","cds-C4N14_10125;cds-C4N14_09770;cds-C4N14_09465;cds-C4N14_06320;cds-C4N14_10420;cds-C4N14_10690;cds-C4N14_10710;cds-C4N14_00495;cds-C4N14_01240;cds-C4N14_03755;cds-C4N14_03750"
"fnu02010",54,"Up",0.00059678037178511,0.0179034111535533,8.09506312672399e-05,0.0004047531563362,"ABC transporters","cds-C4N14_04685;cds-C4N14_04905;cds-C4N14_04910;cds-C4N14_04915;cds-C4N14_05265;cds-C4N14_05270;cds-C4N14_05275;cds-C4N14_09325;cds-C4N14_09320;cds-C4N14_09165;cds-C4N14_09160;cds-C4N14_09145;cds-C4N14_08950;cds-C4N14_08945;cds-C4N14_08940;cds-C4N14_08900;cds-C4N14_08895;cds-C4N14_08890;cds-C4N14_08885;cds-C4N14_08745;cds-C4N14_08220;cds-C4N14_08215;cds-C4N14_08210;cds-C4N14_07440;cds-C4N14_07015;cds-C4N14_07010;cds-C4N14_06470;cds-C4N14_06465;cds-C4N14_06460;cds-C4N14_06295;cds-C4N14_06290;cds-C4N14_06285;cds-C4N14_10570;cds-C4N14_10575;cds-C4N14_10580;cds-C4N14_10585;cds-C4N14_10590;cds-C4N14_00030;cds-C4N14_00035;cds-C4N14_00040;cds-C4N14_00045;cds-C4N14_00050;cds-C4N14_01555;cds-C4N14_01560;cds-C4N14_01565;cds-C4N14_01615;cds-C4N14_01620;cds-C4N14_01625;cds-C4N14_03015;cds-C4N14_03010;cds-C4N14_03005;cds-C4N14_03000;cds-C4N14_02950;cds-C4N14_02945"
"fnu00900",11,"Down",0.00138656246127495,0.0311976553786864,0.000514514180996064,0.00176423212803747,"Terpenoid backbone biosynthesis","cds-C4N14_02450;cds-C4N14_09835;cds-C4N14_09750;cds-C4N14_06090;cds-C4N14_05480;cds-C4N14_05470;cds-C4N14_05465;cds-C4N14_10740;cds-C4N14_00465;cds-C4N14_01475;cds-C4N14_01505"
"fnu00521",5,"Down",0.00185050715627172,0.0333091288128909,0.164322136494168,0.220731228126495,"Streptomycin biosynthesis","cds-C4N14_09430;cds-C4N14_06300;cds-C4N14_05615;cds-C4N14_00890;cds-C4N14_01020"
"fnu01232",23,"Down",0.00360323590036625,0.0523725672903178,7.58036952549942e-09,6.5791948872581e-07,"Nucleotide metabolism","cds-C4N14_01785;cds-C4N14_01780;cds-C4N14_04570;cds-C4N14_04795;cds-C4N14_04920;cds-C4N14_05240;cds-C4N14_10085;cds-C4N14_10005;cds-C4N14_09810;cds-C4N14_08410;cds-C4N14_07025;cds-C4N14_05980;cds-C4N14_05620;cds-C4N14_05485;cds-C4N14_10640;cds-C4N14_10840;cds-C4N14_00370;cds-C4N14_00585;cds-C4N14_00595;cds-C4N14_00670;cds-C4N14_03565;cds-C4N14_01845;cds-C4N14_02045"
"fnu00740",6,"Down",0.00407342190035805,0.0523725672903178,0.287667961096166,0.375219079690652,"Riboflavin metabolism","cds-C4N14_08690;cds-C4N14_07800;cds-C4N14_00055;cds-C4N14_00060;cds-C4N14_00065;cds-C4N14_00070"
"fnu00340",11,"Up",0.00600044873353191,0.0657111149330416,0.0012611576549447,0.00343952087712191,"Histidine metabolism","cds-C4N14_10035;cds-C4N14_09955;cds-C4N14_08930;cds-C4N14_08520;cds-C4N14_08515;cds-C4N14_08265;cds-C4N14_08260;cds-C4N14_10440;cds-C4N14_10455;cds-C4N14_10465;cds-C4N14_10470"
"fnu00541",8,"Down",0.0068971464343317,0.0657111149330416,0.0118243553060236,0.0217182036233087,"O-Antigen nucleotide sugar biosynthesis","cds-C4N14_05280;cds-C4N14_05800;cds-C4N14_05615;cds-C4N14_00890;cds-C4N14_00950;cds-C4N14_01020;cds-C4N14_03065;cds-C4N14_02215"
"fnu01210",3,"Up",0.00730123499256018,0.0657111149330416,0.321736717641224,0.413661494110146,"2-Oxocarboxylic acid metabolism","cds-C4N14_06380;cds-C4N14_06270;cds-C4N14_10535"
