"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnu00051",10,"Down",2.6648767839221e-10,2.53163294472599e-08,9.5663975672117e-08,2.16382802115503e-07,"Fructose and mannose metabolism","cds-C4N14_05010;cds-C4N14_10105;cds-C4N14_08230;cds-C4N14_06345;cds-C4N14_10260;cds-C4N14_10515;cds-C4N14_10630;cds-C4N14_10635;cds-C4N14_10880;cds-C4N14_03680"
"fnu03030",12,"Down",2.81911017618545e-08,7.63689384442482e-07,3.96421954317182e-12,3.42364415092111e-11,"DNA replication","cds-C4N14_04760;cds-C4N14_09560;cds-C4N14_09150;cds-C4N14_07585;cds-C4N14_05595;cds-C4N14_05505;cds-C4N14_10285;cds-C4N14_10345;cds-C4N14_00445;cds-C4N14_01175;cds-C4N14_03930;cds-C4N14_03915"
"fnu00230",29,"Down",3.17401362331093e-08,7.63689384442482e-07,2.9618647729231e-09,1.12550861371078e-08,"Purine metabolism","cds-C4N14_01785;cds-C4N14_01780;cds-C4N14_04795;cds-C4N14_04920;cds-C4N14_05240;cds-C4N14_10005;cds-C4N14_09430;cds-C4N14_07815;cds-C4N14_07800;cds-C4N14_07545;cds-C4N14_07270;cds-C4N14_07265;cds-C4N14_07250;cds-C4N14_07245;cds-C4N14_07240;cds-C4N14_07235;cds-C4N14_07230;cds-C4N14_07225;cds-C4N14_05980;cds-C4N14_05620;cds-C4N14_10640;cds-C4N14_10835;cds-C4N14_10840;cds-C4N14_00370;cds-C4N14_00585;cds-C4N14_00605;cds-C4N14_03060;cds-C4N14_01845;cds-C4N14_02045"
"fnu00300",3,"Down",3.85035475968237e-08,7.63689384442482e-07,0.0564571324773345,0.0715123678046237,"Lysine biosynthesis","cds-C4N14_04745;cds-C4N14_06005;cds-C4N14_10725"
"fnu00190",18,"Down",4.01941781285517e-08,7.63689384442482e-07,5.14538845411168e-13,9.7762380628122e-12,"Oxidative phosphorylation","cds-C4N14_01800;cds-C4N14_05185;cds-C4N14_05190;cds-C4N14_05195;cds-C4N14_05200;cds-C4N14_05205;cds-C4N14_05210;cds-C4N14_05215;cds-C4N14_05220;cds-C4N14_01245;cds-C4N14_01250;cds-C4N14_01260;cds-C4N14_01265;cds-C4N14_01270;cds-C4N14_01275;cds-C4N14_01280;cds-C4N14_01285;cds-C4N14_03945"
"fnu01232",23,"Down",5.27404990851879e-08,8.35057902182141e-07,1.30731012925481e-12,1.55243077849009e-11,"Nucleotide metabolism","cds-C4N14_01785;cds-C4N14_01780;cds-C4N14_04570;cds-C4N14_04795;cds-C4N14_04920;cds-C4N14_05240;cds-C4N14_10085;cds-C4N14_10005;cds-C4N14_09810;cds-C4N14_08410;cds-C4N14_07025;cds-C4N14_05980;cds-C4N14_05620;cds-C4N14_05485;cds-C4N14_10640;cds-C4N14_10840;cds-C4N14_00370;cds-C4N14_00585;cds-C4N14_00595;cds-C4N14_00670;cds-C4N14_03565;cds-C4N14_01845;cds-C4N14_02045"
"fnu00643",2,"Down",7.17572302283754e-08,8.78938308971246e-07,0.186643686388496,0.212444699640159,"Styrene degradation","cds-C4N14_04390;cds-C4N14_04395"
"fnu00970",27,"Down",7.40158575975786e-08,8.78938308971246e-07,8.0214607947441e-13,1.20147162507006e-11,"Aminoacyl-tRNA biosynthesis","cds-C4N14_02535;cds-C4N14_02605;cds-C4N14_02670;cds-C4N14_02680;cds-C4N14_02690;cds-C4N14_01745;cds-C4N14_04830;cds-C4N14_04835;cds-C4N14_05315;cds-C4N14_10130;cds-C4N14_09895;cds-C4N14_09700;cds-C4N14_09595;cds-C4N14_09180;cds-C4N14_08735;cds-C4N14_08440;cds-C4N14_08435;cds-C4N14_08430;cds-C4N14_05790;cds-C4N14_10135;cds-C4N14_10870;cds-C4N14_00110;cds-C4N14_00460;cds-C4N14_00850;cds-C4N14_02935;cds-C4N14_02310;cds-C4N14_02315"
"fnu03018",11,"Down",1.87530514713509e-07,1.97948876642037e-06,6.02035890638966e-08,1.46649768232569e-07,"RNA degradation","cds-C4N14_01725;cds-C4N14_10105;cds-C4N14_09845;cds-C4N14_09340;cds-C4N14_09195;cds-C4N14_08865;cds-C4N14_06080;cds-C4N14_01060;cds-C4N14_01390;cds-C4N14_03510;cds-C4N14_03145"
"fnu03020",4,"Down",2.35139548979105e-07,2.21614467399225e-06,0.0023112779735084,0.00354147431424674,"RNA polymerase","cds-C4N14_05715;cds-C4N14_01840;cds-C4N14_01855;cds-C4N14_01860"
