"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnc02040",1,"Down",0.000740007916651708,0.0680807283319571,0.000740007916651708,0.0231869147217535,"Flagellar assembly","HMPREF0946_RS07225"
"fnc00010",12,"Up",0.00283109283633546,0.130230270471431,0.0227193538102002,0.15254423272563,"Glycolysis / Gluconeogenesis","HMPREF0946_RS03405;HMPREF0946_RS03850;HMPREF0946_RS04735;HMPREF0946_RS04740;HMPREF0946_RS05280;HMPREF0946_RS06390;HMPREF0946_RS06415;HMPREF0946_RS06495;HMPREF0946_RS08275;HMPREF0946_RS09880;HMPREF0946_RS10540;HMPREF0946_RS03035"
"fnc00040",3,"Down",0.0106327162585751,0.266875425469774,0.549161318100547,1,"Pentose and glucuronate interconversions","HMPREF0946_RS04180;HMPREF0946_RS10125;HMPREF0946_RS02810"
"fnc00523",1,"Down",0.0118989060567303,0.266875425469774,0.0118989060567303,0.111849716933265,"Polyketide sugar unit biosynthesis","HMPREF0946_RS09755"
"fnc00760",7,"Up",0.014738786030938,0.266875425469774,0.0758642288894856,0.297134896483818,"Nicotinate and nicotinamide metabolism","HMPREF0946_RS06435;HMPREF0946_RS06640;HMPREF0946_RS07805;HMPREF0946_RS08570;HMPREF0946_RS01005;HMPREF0946_RS10865;HMPREF0946_RS10860"
"fnc00670",9,"Down",0.019282761568331,0.266875425469774,0.234179263825183,0.667056084835369,"One carbon pool by folate","HMPREF0946_RS04460;HMPREF0946_RS05175;HMPREF0946_RS05595;HMPREF0946_RS09265;HMPREF0946_RS09270;HMPREF0946_RS10960;HMPREF0946_RS02670;HMPREF0946_RS02270;HMPREF0946_RS00220"
"fnc00640",5,"Up",0.0203057388944393,0.266875425469774,0.402197579338819,0.859240283132932,"Propanoate metabolism","HMPREF0946_RS04685;HMPREF0946_RS06415;HMPREF0946_RS06425;HMPREF0946_RS03195;HMPREF0946_RS03190"
"fnc03030",8,"Down",0.0267549488924952,0.305968085320966,0.932840134659522,1,"DNA replication","HMPREF0946_RS05290;HMPREF0946_RS07165;HMPREF0946_RS07235;HMPREF0946_RS11205;HMPREF0946_RS08515;HMPREF0946_RS08875;HMPREF0946_RS01230;HMPREF0946_RS03010"
"fnc00300",1,"Down",0.0299316605205293,0.305968085320966,0.0299316605205293,0.187571739261983,"Lysine biosynthesis","HMPREF0946_RS06775"
"fnc00620",15,"Up",0.0436956923917281,0.343260896019592,0.0531602359399617,0.237955341826495,"Pyruvate metabolism","HMPREF0946_RS03405;HMPREF0946_RS03590;HMPREF0946_RS03650;HMPREF0946_RS04735;HMPREF0946_RS05880;HMPREF0946_RS06380;HMPREF0946_RS06415;HMPREF0946_RS06425;HMPREF0946_RS06765;HMPREF0946_RS07770;HMPREF0946_RS09465;HMPREF0946_RS00335;HMPREF0946_RS03195;HMPREF0946_RS03190;HMPREF0946_RS02985"
"fnc00280",3,"Up",0.046576272526158,0.343260896019592,0.945733640259228,1,"Valine, leucine and isoleucine degradation","HMPREF0946_RS03405;HMPREF0946_RS03590;HMPREF0946_RS04685"
"fnc00071",5,"Up",0.0474205722997157,0.343260896019592,0.596683018548249,1,"Fatty acid degradation","HMPREF0946_RS03405;HMPREF0946_RS03590;HMPREF0946_RS04685;HMPREF0946_RS05025;HMPREF0946_RS06175"
"fnc01212",9,"Up",0.0545425775916085,0.343260896019592,0.229792913103604,0.667056084835369,"Fatty acid metabolism","HMPREF0946_RS03590;HMPREF0946_RS04685;HMPREF0946_RS05025;HMPREF0946_RS06175;HMPREF0946_RS02350;HMPREF0946_RS02210;HMPREF0946_RS01915;HMPREF0946_RS03195;HMPREF0946_RS03190"
"fnc00562",2,"Up",0.0670362192172419,0.343260896019592,1,1,"Inositol phosphate metabolism","HMPREF0946_RS10130;HMPREF0946_RS03035"
"fnc00500",8,"Up",0.0680085338236663,0.343260896019592,0.0323088583101958,0.1898145425724,"Starch and sucrose metabolism","HMPREF0946_RS03850;HMPREF0946_RS04745;HMPREF0946_RS04985;HMPREF0946_RS04995;HMPREF0946_RS05005;HMPREF0946_RS05280;HMPREF0946_RS06390;HMPREF0946_RS10540"
"fnc00290",2,"Up",0.0734034405518539,0.343260896019592,1,1,"Valine, leucine and isoleucine biosynthesis","HMPREF0946_RS10105;HMPREF0946_RS02840"
"fnc00330",3,"Up",0.0763236801565902,0.343260896019592,1,1,"Arginine and proline metabolism","HMPREF0946_RS03405;HMPREF0946_RS03615;HMPREF0946_RS06335"
